Resource,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,troubleshooting,DS-VD,DS-SD
Magento_Backend::content_elements,,,,,,,,,,,1,1,
Magento_Cms::page,,,,,,,,,,,1,1,
Magento_Cms::save,,,,,,,,,,,1,1,
Magento_VersionsCms::save_revision,,,,,,,,,,,1,1,
Magento_Cms::page_delete,,,,,,,,,,,1,1,
Magento_VersionsCms::delete_revision,,,,,,,,,,,1,1,
Magento_VersionsCms::publish_revision,,,,,,,,,,,1,1,
Magento_VersionsCms::hierarchy,,,,,,,,,,,1,1,
Magento_Cms::block,,,,,,,,,,,1,1,
Magento_Banner::magento_banner,,,,,,,,,,,1,1,
Magento_Widget::widget_instance,,,,,,,,,,,1,1,
Magento_Cms::media_gallery,,,,,,,,,,,1,1,
Riki_Customer::enquiry_category,,,,,,,,,1,,1,,
Riki_Customer::category_save,,,,,,,,,1,,1,,
Riki_Customer::category_delete,,,,,,,,,1,,1,,
Riki_Customer::enquiryheader,,,,1,1,,,,1,,1,,
Riki_Customer::enquiryheader_save,,,,1,1,,,,1,,1,,
Riki_Customer::enquiryheader_delete,,,,,,,,,,,1,,
Riki_Customer::shoshacustomer,,,,1,1,,,,,,1,,
Riki_Customer::shoshacustomer_save,,,,,1,,,,,,1,,
Riki_Customer::shoshacustomer_delete,,,,,1,,,,,,1,,
Riki_Customer::consumerdb,,,,1,1,,,,1,,,1,
Magento_Backend::design,,,,,,,,,,,1,1,
Magento_Theme::theme,,,,,,,,,,,1,1,
Magento_Backend::schedule,,,,,,,,,,,1,1,
Magento_Reports::report,,,,,,,,,,,1,,
Amasty_Smtp::reports,,,,,,,,,,,1,,
Amasty_Smtp::reports_sent,,,,,,,,,,,,,
Amasty_Smtp::reports_debug,,,,,,,,,,,,,
Magento_Reports::report_marketing,,,,,,,,,,,1,,
Magento_Reports::shopcart,,,,,,,,,,,1,,
Magento_Reports::product,,,,,,,,,,,1,,
Magento_Reports::abandoned,,,,,,,,,,,1,,
Magento_Reports::report_search,,,,,,,,,,,1,,
Magento_Newsletter::problem,,,,,,,,,,,1,,
Magento_Reports::review,,,,,,,,,,,1,,
Magento_Reports::review_customer,,,,,,,,,,,1,,
Magento_Reports::review_product,,,,,,,,,,,1,,
Magento_Reports::salesroot,,,,,,,,,,,1,,
Magento_Reports::salesroot_sales,,,,,,,,,,,1,,
Magento_Reports::tax,,,,,,,,,,,1,,
Magento_Reports::invoiced,,,,,,,,,,,1,,
Magento_Reports::shipping,,,,,,,,,,,1,,
Magento_Reports::refunded,,,,,,,,,,,1,,
Magento_Reports::coupons,,,,,,,,,,,1,,
Magento_Paypal::paypal_settlement_reports,,,,,,,,,,,1,,
Magento_Paypal::paypal_settlement_reports_view,,,,,,,,,,,1,,
Magento_Paypal::fetch,,,,,,,,,,,1,,
Magento_Reports::customers,,,,,,,,,,,1,,
Magento_Reports::totals,,,,,,,,,,,1,,
Magento_Reports::customers_orders,,,,,,,,,,,1,,
Magento_Reports::accounts,,,,,,,,,,,1,,
Magento_MultipleWishlist::wishlist,,,,,,,,,,,1,,
Magento_CustomerSegment::segment,,,,,,,,,,,1,,
Magento_Reports::report_products,,,,,,,,,,,1,,
Magento_Reports::viewed,,,,,,,,,,,1,,
Magento_Reports::bestsellers,,,,,,,,,,,1,,
Magento_Reports::lowstock,,,,,,,,,,,1,,
Magento_Reports::sold,,,,,,,,,,,1,,
Magento_Reports::downloads,,,,,,,,,,,1,,
Magento_Invitation::report_magento_invitation,,,,,,,,,,,1,,
Magento_Invitation::general,,,,,,,,,,,1,,
Magento_Invitation::magento_invitation_customer,,,,,,,,,,,1,,
Magento_Invitation::order,,,,,,,,,,,1,,
Magento_Reports::statistics,,,,,,,,,,,1,,
Magento_Reports::statistics_refresh,,,,,,,,,,,1,,
Magento_Backend::stores,1,,,,,,,,,,1,1,
Magento_Backend::stores_settings,1,,,,,,,,,,1,1,
Magento_Backend::store,,,,,,,,,,,1,1,
Magento_Config::config,1,,,,,,,,,,1,1,
Magento_GiftCardAccount::giftcardaccount,,,,,,,,,,,1,1,
Magento_Contact::contact,,,,,,,,,,,1,1,
Magento_GiftCard::giftcard,,,,,,,,,,,1,1,
Magento_GoogleAnalytics::google,,,,,,,,,,,1,1,
Magento_Logging::logging,,,,,,,,,,,1,1,
Magento_Newsletter::newsletter,,,,,,,,,,,1,1,
Magento_CatalogPermissions::magento_catalogpermissions,,,,,,,,,,,1,1,
Magento_CatalogInventory::cataloginventory,,,,,,,,,,,1,1,
Magento_VisualMerchandiser::options,,,,,,,,,,,1,1,
Magento_Invitation::config_magento_invitation,,,,,,,,,,,1,1,
Magento_Payment::payment_services,,,,,,,,,,,1,1,
Magento_Payment::payment,,,,,,,,,,,1,1,
Magento_Catalog::config_catalog,,,,,,,,,,,1,1,
Magento_Cms::config_cms,,,,,,,,,,,1,1,
Magento_GiftRegistry::magento_giftregistry,,,,,,,,,,,1,1,
Magento_Downloadable::downloadable,,,,,,,,,,,1,1,
Magento_Shipping::carriers,,,,,,,,,,,1,1,
Magento_Shipping::shipping_policy,,,,,,,,,,,1,1,
Magento_Shipping::config_shipping,,,,,,,,,,,1,1,
Magento_Multishipping::config_multishipping,,,,,,,,,,,1,1,
Magento_Reward::magento_reward,,,,,,,,,,,1,1,
Riki_Questionnaire::config_questionnaire,,,,,,,,,,,1,1,
Magento_SalesRule::config_promo,,,,,,,,,,,1,1,
Magento_Config::config_general,,,,,,,,,,,1,1,
Mirasvit_FraudCheck::fraud_check_config,,,,,,,,,,,1,1,
Mirasvit_Core::core_settings,,,,,,,,,,,1,1,
Magento_Config::web,,,,,,,,,,,1,1,
Magento_Config::config_design,,,,,,,,,,,1,1,
Magento_Customer::config_customer,,,,,,,,,,,1,1,
Magento_Paypal::paypal,,,,,,,,,,,1,1,
Magento_Tax::config_tax,,,,,,,,,,,1,1,
Magento_Sales::config_sales,,,,,,,,,,,1,1,
Magento_Persistent::persistent,,,,,,,,,,,1,1,
Magento_Sales::sales_email,,,,,,,,,,,1,1,
Magento_Sales::sales_pdf,,,,,,,,,,,1,1,
Magento_Reports::reports,,,,,,,,,,,1,1,
Magento_Sitemap::config_sitemap,,,,,,,,,,,1,1,
Riki_Rma::config,,,,,,,,,,,1,1,
Riki_MasterDataHistory::config_masterdatahistory,,,,,,,,,,,1,1,
Riki_Sales::config_order,,,,,,,,,,,1,1,
Riki_AdvancedInventory::config,,,,,,,,,,,1,1,
Riki_AdvancedInventory::out_of_stock_config,,,,,,,,,,,1,1,
Magento_Config::config_system,,,,,,,,,,,1,1,
Magento_Wishlist::config_wishlist,,,,,,,,,,,1,1,
Riki_ProductActive::config_productactive,,,,,,,,,,,1,1,
Bluecom_Paygent::cron_cancellation,,,,,,,,,,,1,1,
Riki_Prize::config_prize,,,,,,,,,,,1,1,
Riki_Subscription::config_subscription,,,,,,,,,,,1,1,
Riki_CvsPayment::config,,,,,,,,,,,1,1,
Riki_CvsPayment::cvs_order,,,,,,,,,,,1,1,
Magento_Config::advanced,,,,,,,,,,,1,1,
Magento_Config::config_admin,,,,,,,,,,,1,1,
Magento_Config::trans_email,,,,,,,,,,,1,1,
Magento_Config::dev,,,,,,,,,,,1,1,
Magento_Config::currency,,,,,,,,,,,1,1,
Magento_Rss::rss,,,,,,,,,,,1,1,
Magento_Config::sendfriend,,,,,,,,,,,1,1,
Riki_Catalog::recommendation_product_in_shopping_cart,,,,,,,,,,,1,1,
Riki_DeliveryType::config_deliverydate,,,,,,,,,,,1,1,
Riki_Customer::sso_login_setting,,,,,,,,,,,1,1,
Riki_Customer::config_thank_you_page_link_to_top_page,,,,,,,,,,,1,1,
Riki_Customer::config_customer_kss_link_edit,,,,,,,,,,,1,1,
Riki_ShipLeadTime::config_shipleadtime,,,,,,,1,,,,1,1,
Riki_ShipLeadTime::shipleadtime_view,,,,,,,1,,,,1,1,
Riki_ShipLeadTime::shipleadtime_edit,,,,,,,1,,,,1,1,
Riki_ShipLeadTime::shipleadtime_add_new,,,,,,,1,,,,1,1,
Riki_ShipmentExporter::config_shipmentexporter,,,,,,,,,,,1,1,
Riki_EmailMarketing::config_emailmarketing,,,,,,,,,,,1,1,
Riki_ShipmentImporter::config_shipmentimporter,,,,,,,,,,,1,1,
Riki_ReceiveCvsPayment::config_receivecvspayment,,,,,,,,,,,1,1,
Riki_Customer::config_customer_group,,,,,,,,,,,1,1,
Riki_Customer::cedyna_customer_hold,,,,,,,,,,,1,1,
Magento_NewRelicReporting::config_newrelicreporting,,,,,,,,,,,1,1,
Amasty_Promo::config_promo,,,,,,,,,,,1,1,
Riki_Preorder::config,,,,,,,,,,,1,1,
Amasty_Smtp::config,,,,,,,,,,,1,1,
Amasty_Coupons::config,,,,,,,,,,,1,1,
Riki_Loyalty::config,,,,,,,,,,,1,1,
Riki_Rule::config,1,,,,,,,,,,1,1,
Magento_CheckoutAgreements::checkoutagreement,,,,,,,,,,,1,1,
Magento_Sales::order_statuses,,,,,,,,,,,1,1,
Bluecom_PaymentFee::index,,,,,,,,,,,1,1,
Magento_Tax::manage_tax,,,,,,,,,,,1,1,
Magento_CurrencySymbol::system_currency,,,,,,,,,,,1,1,
Magento_CurrencySymbol::currency_rates,,,,,,,,,,,1,1,
Magento_CurrencySymbol::symbols,,,,,,,,,,,1,1,
Magento_Backend::stores_attributes,,,,,,,,,,,1,1,
Magento_CustomerCustomAttributes::attributes,,,,,,,,,,,1,1,
Magento_CustomerCustomAttributes::customer_attributes,,,,,,,,,,,1,1,
Magento_CustomerCustomAttributes::customer_address_attributes,,,,,,,,,,,1,1,
Magento_Catalog::attributes_attributes,,,,,,,,,,,1,1,
Magento_Catalog::update_attributes,,,,,,,,,,,1,1,
Magento_Catalog::sets,,,,,,,,,,,1,1,
Magento_Rma::rma_attribute,,,,,,,,,,,1,1,
Magento_Review::ratings,,,,,,,,,,,1,1,
Magento_Backend::stores_other_settings,1,,,,,,,,,,1,,
Magento_Customer::group,,,,,,,,,,,1,,
Magento_Reward::rates,,,,,,,,,,,1,,
Magento_GiftWrapping::magento_giftwrapping,1,,,,,,,,,,1,,
Magento_GiftRegistry::customer_magento_giftregistry,1,,,,,,,,,,1,,
Riki_GiftWrapping::import_giftwrapping,1,,,,,,,,,,1,,
Riki_User::import_password,,,,,,,,,,,1,,
Magento_Backend::system,1,1,1,1,1,1,1,1,1,1,1,1,1
Riki_ArReconciliation::import_payment_csv,,,,,,,,,,1,1,,
Riki_ArReconciliation::import_payment_csv_file,,,,,,,,,,1,1,,
Bluecom_Scheduler::scheduler,,,,,,,,,,,1,,
Bluecom_Scheduler::schedules,,,,,,,,,,,1,,
Riki_ReceiveCvsPayment::receivecvspayment,,,,,,,,,,,1,1,
Riki_ReceiveCvsPayment::importing,,,,,,,,,,,1,1,
Magento_Backend::convert,,,,,,,,,,,1,1,
Magento_ImportExport::import,,,,,,,,,,,1,1,
Magento_ImportExport::export,,,,,,,,,,,1,1,
Magento_TaxImportExport::import_export,,,,,,,,,,,1,1,
Magento_ImportExport::history,,,,,,,,,,,1,1,
Magento_ScheduledImportExport::magento_scheduled_operation,,,,,,,,,,,1,1,
Magento_Backend::extensions,,,,,,,,,,,1,1,
Magento_Backend::local,,,,,,,,,,,1,1,
Magento_Backend::custom,,,,,,,,,,,1,1,
Mirasvit_FraudCheck::fraud_check,,,,,,,,,1,,1,1,
Mirasvit_FraudCheck::fraud_check_score,,,,,,,,,1,,1,1,
Mirasvit_FraudCheck::fraud_check_rule,,,,,,,,,1,,1,1,
Riki_FairAndSeasonalGift::fair_seasonal,1,,,,,,,,,,1,,
Riki_FairAndSeasonalGift::fair_management,1,,,,,,,,,,1,,
Riki_FairAndSeasonalGift::fair_import,,,,,,,,,,,1,,
Magento_Backend::tools,1,1,1,1,1,1,1,1,1,1,1,1,
Magento_Support::support,,,,,,,,,,,1,1,
Magento_Support::support_report,,,,,,,,,,,1,1,
Magento_Backend::cache,1,1,1,1,1,1,1,1,1,1,1,1,
Magento_Backend::setup_wizard,,,,,,,,,,,1,1,
Magento_Indexer::index,,,,,,,,,,,1,1,
Magento_Backup::backup,,,,,,,,,,,1,1,
Magento_Backup::rollback,,,,,,,,,,,1,1,
Magento_Indexer::changeMode,,,,,,,,,,,1,1,
Magento_User::acl,,,,,,,,,,,,,1
Magento_User::acl_users,,,,,,,,,,,,,1
Magento_User::locks,,,,,,,,,,,,,1
Magento_User::acl_roles,,,,,,,,,,,,,1
Magento_Logging::magento_logging,,,,,,,,,,,1,1,
Magento_Logging::magento_logging_events,,,,,,,,,,,1,1,
Magento_Logging::backups,,,,,,,,,,,1,1,
Magento_Backend::system_other_settings,,,,,,,,,,,1,1,
Magento_AdminNotification::adminnotification,,,,,,,,,,,1,1,
Magento_AdminNotification::show_toolbar,,,,,,,,,,,1,1,
Magento_AdminNotification::show_list,,,,,,,,,,,1,1,
Magento_AdminNotification::mark_as_read,,,,,,,,,,,1,1,
Magento_AdminNotification::adminnotification_remove,,,,,,,,,,,1,1,
Magento_Variable::variable,,,,,,,,,,,1,1,
Magento_EncryptionKey::crypt_key,,,,,,,,,,,1,1,
Riki_ProductStoctStatus::stockstatus,,,,,,,,,,,1,1,
Magento_Backend::global_search,,,,,,,,,,,1,1,
Riki_Prize::prize,1,,,,,,,,,,1,,
Riki_MachineApi::call_machine_api,,,,,,,,,,,1,,
Riki_MachineApi::machine,1,,,1,1,,,,,,1,,
Riki_MachineApi::machine_customer,,,,1,1,,,,,,1,,
Riki_MachineApi::machine_customer_save,,,,1,1,,,,,,1,,
Riki_MachineApi::machine_customer_delete,,,,1,1,,,,,,1,,
Riki_MachineApi::machine_skus,1,,,,,,,,,,1,,
Riki_MachineApi::machine_skus_save,1,,,,,,,,,,1,,
Riki_MachineApi::machine_skus_delete,1,,,,,,,,,,1,,
Riki_MachineApi::machine_conditionRule,1,,,,,,,,,,1,,
Riki_MachineApi::machine_conditionRule_save,1,,,,,,,,,,1,,
Riki_MachineApi::machine_conditionRule_delete,1,,,,,,,,,,1,,
Riki_CatalogFreeShipping::catalog_free_shipping,1,,1,,,,,,,,1,,
Riki_CatalogFreeShipping::rule_save,1,,,,,,,,,,1,,
Riki_ThirdPartyImportExport::order_legacy,,,,1,1,,,,1,,,,
Riki_ThirdPartyImportExport::config_ThirdPartyImportExport,,,,,,,,,,,1,,
Amasty_Base::config,,,,,,,,,,,1,,
Riki_Subscription::add_spot_product,,,,1,1,,,,,,1,,
Riki_Sales::remove_suspicious,,,,,,,,,1,,,,
Riki_Subscription::edit_payment_method,,,,,,,,,,,,,
