"Link to Guide and Rules","ご利用ガイドと利用規約"
"Link to compliance information","特定商取引法に基づく表示"
"Link to Address note function","アドレス帳機能について"
"Link to FAQ","よくある質問"
"Link to Inquiry","お問い合わせ"
"User's guide","ご利用ガイド"
"FAQ","よくあるご質問"
"Contact us by chat","チャットで質問する"
"Help ","ヘルプ"
"Your Next Delivery 1","定期お届け便のご注文内容確認 1"
"Your Next Delivery 2","定期お届け便のご注文内容確認 2"
"My Page","マイページ"
"Total amount","商品合計金額(税込)"
"Nex Delivery Date","お届け予定日"
"Make Change","お届け予定日を変更する"
"Delivery time","お届け希望時間帯"
"Next Delivery Items","お届け予定商品"
"Delivery Date","お届け希望日"
"Estimated delivery date changed","お届け予定日が変更されました"
"Order type SPOT","通常商品のご注文"
"Order type Hanpukai","セット商品のご注文"
"Order type Subscription","定期便のご注文"